Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
"The Shiva Triology Boxset of 3 Books (Perfect Gift for this Festive Season) : The Immortals of Meluha, The Secret of The Nagas, The Oath of The ... of The Nagas, The Oath of The Vayuputras)",Amish Tripathi,https://amazon.in/Triology-Boxset-Perfect-Festive-Season/dp/9356294518/ref=zg_bs_g_1318188031_sccl_17/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,304
"The Power Of Now (english, Paperback, Tolle Eckhart)",Eckhart Tolle,https://amazon.in/Power-Now-Guide-Spiritual-Enlightenment/dp/8190105914/ref=zg_bs_g_1318188031_sccl_18/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"56,495"
"Shri Ram Charitmanas Gita Press Ramcharitmanas, Tulsidas Krit Ramcharitmanas, Code-81,(Hardcover, Hindi, Goswami Tulsidas)",Missing,https://amazon.in/Charitmanas-Ramcharitmanas-Tulsidas-Code-81-Hardcover/dp/B097JNH98W/ref=zg_bs_g_1318188031_sccl_19/000-0000000-0000000?psc=1,Hardcover,Missing,4.8 out of 5 stars,Gita Press Gorakhpur
"8 Rules of Love : How to Find it, Keep it, and Let it Go: From Sunday Times No.1 bestselling author Jay Shetty, a new guide on how to find lasting ... from the author of Think Like A Monk",Jay Shetty,https://amazon.in/Rules-Love-bestselling-lasting-relationships/dp/0008602948/ref=zg_bs_g_1318188031_sccl_20/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"3,171"
The Law of Attraction: A laugh-out-loud opposites attract romantic comedy from Laura Carter for summer 2023 (Brits in Manhattan Book 1),Laura Carter,https://amazon.in/Law-Attraction-laugh-out-loud-opposites-Manhattan-ebook/dp/B0C5VBZJ1X/ref=zg_bs_g_1318168031_sccl_1/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.1 out of 5 stars,133
முள்ளோடு முத்தாடிய கள்வனே (Tamil Edition),Missing,https://amazon.in/%E0%AE%AE%E0%AF%81%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%8B%E0%AE%9F%E0%AF%81-%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%9F%E0%AE%BF%E0%AE%AF-%E0%AE%95%E0%AE%B3%E0%AF%8D%E0%AE%B5%E0%AE%A9%E0%AF%87-Tamil-%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%95%E0%AE%BE-ebook/dp/B0CKBWM56V/ref=zg_bs_g_1318168031_sccl_2/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.2 out of 5 stars,உதய  சந்திரிகா
செந்நீரில் கொகுடியோ பகுதி இரண்டு : Senneeril googudiyoo (செந்நீரில கொகுடியோ Book 2) (Tamil Edition),Missing,https://amazon.in/%E0%AE%9A%E0%AF%86%E0%AE%A8%E0%AF%8D%E0%AE%A8%E0%AF%80%E0%AE%B0%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AF%8A%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AF%8B-%E0%AE%AA%E0%AE%95%E0%AF%81%E0%AE%A4%E0%AE%BF-%E0%AE%87%E0%AE%B0%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AF%81-googudiyoo-ebook/dp/B0CKHTRVLS/ref=zg_bs_g_1318168031_sccl_3/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.6 out of 5 stars,suja chandran
உயிரைத் திருடும் அழகியே! - word document : Uyirai Thirudum Azhagiye! (Tamil Edition),Missing,https://amazon.in/%E0%AE%89%E0%AE%AF%E0%AE%BF%E0%AE%B0%E0%AF%88%E0%AE%A4%E0%AF%8D-%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%85%E0%AE%B4%E0%AE%95%E0%AE%BF%E0%AE%AF%E0%AF%87-document-Thirudum-ebook/dp/B0CKC4N9X4/ref=zg_bs_g_1318168031_sccl_4/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.8 out of 5 stars,NithaniPrabu  நிதனிபிரபு 
The Broken Vows: Zane and Celeste's Story (The Windsors),Catharina Maura,https://amazon.in/Broken-Vows-Celestes-Story-Windsors-ebook/dp/B0C4GRKJTF/ref=zg_bs_g_1318168031_sccl_5/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.5 out of 5 stars,139
என் காதல் நட்சத்திரமே -: En Kaadhal Natchathiramey (Tamil Edition),Vanmathy Hari,https://amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%8D-%E0%AE%A8%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AF%87-Kaadhal-Natchathiramey-ebook/dp/B0CKFJ1RWK/ref=zg_bs_g_1318168031_sccl_6/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,32
உருகுதே மறுகுதே: Urukuthe Marukuthe (Tamil Edition),ஆத்விகா பொம்மு (Aadvika pommu) ,https://amazon.in/%E0%AE%89%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%81%E0%AE%A4%E0%AF%87-%E0%AE%AE%E0%AE%B1%E0%AF%81%E0%AE%95%E0%AF%81%E0%AE%A4%E0%AF%87-Urukuthe-Marukuthe-Tamil-ebook/dp/B0CK63X9VN/ref=zg_bs_g_1318168031_sccl_7/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.5 out of 5 stars,186
செந்நீரில் கொகுடியோ: Sennereel gogudiyoo (செந்நீரில கொகுடியோ Book 1) (Tamil Edition),Missing,https://amazon.in/%E0%AE%9A%E0%AF%86%E0%AE%A8%E0%AF%8D%E0%AE%A8%E0%AF%80%E0%AE%B0%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AF%8A%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AF%8B-Sennereel-gogudiyoo-%E0%AE%9A%E0%AF%86%E0%AE%A8%E0%AF%8D%E0%AE%A8%E0%AF%80%E0%AE%B0%E0%AE%BF%E0%AE%B2-ebook/dp/B0CK8RHGMP/ref=zg_bs_g_1318168031_sccl_8/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.7 out of 5 stars,suja chandran
வேல்விழி மொழிகள் (Tamil Edition),Missing,https://amazon.in/%E0%AE%B5%E0%AF%87%E0%AE%B2%E0%AF%8D%E0%AE%B5%E0%AE%BF%E0%AE%B4%E0%AE%BF-%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D-Tamil-%E0%AE%B7%E0%AF%87%E0%AE%B9%E0%AE%BE-Shehazaki-ebook/dp/B0CKCZHXBQ/ref=zg_bs_g_1318168031_sccl_9/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.0 out of 5 stars,ஷேஹா ஸகி Shehazaki
Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,https://amazon.in/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_g_1318168031_sccl_10/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"270,621"
YOU ONLY LIVE ONCE,Missing,https://amazon.in/ONLY-LIVE-ONCE-STUTI-CHANGLE/dp/0143453580/ref=zg_bs_g_1318168031_sccl_11/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,STUTI CHANGLE
Ithazhodu Uravada Vaa (இதழோடு உறவாட வா) (Tamil Edition),Missing,https://amazon.in/Ithazhodu-Uravada-%E0%AE%87%E0%AE%A4%E0%AE%B4%E0%AF%8B%E0%AE%9F%E0%AF%81-%E0%AE%89%E0%AE%B1%E0%AE%B5%E0%AE%BE%E0%AE%9F-Tamil-ebook/dp/B0CK3TBTK1/ref=zg_bs_g_1318168031_sccl_12/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,JI YA
Until You (Off-Limits),Catharina Maura,https://amazon.in/Until-You-Brothers-Standalone-Off-Limits-ebook/dp/B0934BZHW1/ref=zg_bs_g_1318168031_sccl_13/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,"10,444"
World’s Best Girlfriend,Durjoy Datta,https://amazon.in/Worlds-Best-Girlfriend-Durjoy-Datta/dp/0143448366/ref=zg_bs_g_1318168031_sccl_14/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,58
The Wrong Bride: Ares and Raven's Story (The Windsors),Catharina Maura,https://amazon.in/Wrong-Bride-Ravens-Story-Windsors-ebook/dp/B0B9TBGC5X/ref=zg_bs_g_1318168031_sccl_15/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.3 out of 5 stars,"27,342"
Needu Thooram Thodarum Ninaivugal (Tamil Edition),Missing,https://amazon.in/Needu-Thooram-Thodarum-Ninaivugal-Tamil-ebook/dp/B0CK524ZWW/ref=zg_bs_g_1318168031_sccl_16/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.5 out of 5 stars,Nivetha Nithyananthan
Shadab It Starts With Us + It Ends With Us: A Novel: Volume 1 (Set of 2 Book,Missing,https://amazon.in/Shadab-Starts-Us-Ends-Novel/dp/B0BWXXL3WL/ref=zg_bs_g_1318168031_sccl_17/000-0000000-0000000?psc=1,Perfect Paperback,Missing,3.9 out of 5 stars,COLEEN HOOVER
முரடனை மயக்கிய முயல்குட்டி (Tamil Edition),Thanimai Kadhali Novels,https://amazon.in/%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AE%9F%E0%AE%A9%E0%AF%88-%E0%AE%AE%E0%AE%AF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%AF-%E0%AE%AE%E0%AF%81%E0%AE%AF%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%BF-Thanimai-Kadhali-ebook/dp/B0CJC678VY/ref=zg_bs_g_1318168031_sccl_18/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.7 out of 5 stars,19
One Day Life Will Change A story of love and inspiration to win life when it hits you hard,Saranya Umakanthan,https://amazon.in/One-Day-Life-Will-Change/dp/9389717841/ref=zg_bs_g_1318168031_sccl_19/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"2,487"
செந்நீரில் கொகுடியோ மூன்று : Seenneriel googudiyoo (செந்நீரில கொகுடியோ Book 3) (Tamil Edition),Missing,https://amazon.in/%E0%AE%9A%E0%AF%86%E0%AE%A8%E0%AF%8D%E0%AE%A8%E0%AF%80%E0%AE%B0%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AF%8A%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AF%8B-%E0%AE%AE%E0%AF%82%E0%AE%A9%E0%AF%8D%E0%AE%B1%E0%AF%81-Seenneriel-googudiyoo-ebook/dp/B0CKNK35HX/ref=zg_bs_g_1318168031_sccl_20/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.8 out of 5 stars,Suja chandran
HereThere and Everywhere : Best-Loved,Missing,https://amazon.in/Here-There-Everywhere-Best-Loved-Stories/dp/0143444344/ref=zg_bs_g_1318168031_sccl_21/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,Murty Sudha
உயிரென உனை சேர வா..!! 1: Uyirena Unai Serava..!! 1 (உயிரென உனை சேரவா..!!) (Tamil Edition),Kavi Chandra,https://amazon.in/%E0%AE%89%E0%AE%AF%E0%AE%BF%E0%AE%B0%E0%AF%86%E0%AE%A9-%E0%AE%89%E0%AE%A9%E0%AF%88-%E0%AE%9A%E0%AF%87%E0%AE%B0-%E0%AE%B5%E0%AE%BE-Uyirena-ebook/dp/B0CGDXKJ85/ref=zg_bs_g_1318168031_sccl_22/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,315
"Touch of Eternity, A: | A Bestselling romance Novel | Love Story","Durjoy, Datta,",https://amazon.in/Touch-Eternity-Datta-Durjoy/dp/014344834X/ref=zg_bs_g_1318168031_sccl_23/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"2,988"
