Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
A SHORT HISTORY OF THE WORLD- (FINGERPRINT),H. G. Wells,https://amazon.in/SHORT-HISTORY-WORLD-FINGERPRINT/dp/8175993197/ref=zg_bs_g_1318164031_sccl_2/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,563
"Ravan Raja Rakshsancha [paperback] Sharad Tandale [Jan 01, 2018] …",Missing,https://amazon.in/Ravan-Raja-Rakshsancha-Sharad-Tandale/dp/819344681X/ref=zg_bs_g_1318164031_sccl_3/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,Sharad Tandale
Velpari ( வீரயுக நாயகன் வேள் பாரி ),Missing,https://amazon.in/Velpari-%E0%AE%B5%E0%AF%80%E0%AE%B0%E0%AE%AF%E0%AF%81%E0%AE%95-%E0%AE%A8%E0%AE%BE%E0%AE%AF%E0%AE%95%E0%AE%A9%E0%AF%8D-%E0%AE%B5%E0%AF%87%E0%AE%B3%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AE%BF/dp/938810417X/ref=zg_bs_g_1318164031_sccl_4/000-0000000-0000000?psc=1,Hardcover,Missing,4.7 out of 5 stars,சு.வெங்கடேசன்
The Taste of Revenge (War of Sins Book 1),Veronica Lancet,https://amazon.in/Taste-Revenge-War-Sins-Book-ebook/dp/B0BZLXDM11/ref=zg_bs_g_1318164031_sccl_5/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.0 out of 5 stars,"1,617"
When She Unravels: A Dark Mafia Romance (The Fallen Book 1),Gabrielle Sands,https://amazon.in/When-She-Unravels-Romance-Fallen-ebook/dp/B0B75FJH6J/ref=zg_bs_g_1318164031_sccl_6/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.4 out of 5 stars,"6,753"
Shivaji: The Great Maratha,Missing,https://amazon.in/Shivaji-Great-Maratha-Ranjit-Desai/dp/9352774396/ref=zg_bs_g_1318164031_sccl_7/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,Ranjit Desai
Nothing Ventured: The Sunday Times #1 Bestseller (William Warwick Novels),Jeffrey Archer,https://amazon.in/Nothing-Ventured-Jeffrey-Archer/dp/1529014913/ref=zg_bs_g_1318164031_sccl_8/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"31,029"
Tomb of Sand - WINNER OF THE 2022 INTERNATIONAL BOOKER PRIZE : WINNER OF THE 2022 INTERNATIONAL BOOKER PRIZE,Geetanjali Shree,https://amazon.in/Paperback-Shree-Geetanjali-Rockwell-Daisy/dp/0143448471/ref=zg_bs_g_1318164031_sccl_9/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"1,217"
The Obstacle is the Way: The Ancient Art of Turning Trials into Triumph,Ryan Holiday,https://amazon.in/Obstacle-Way-Ancient-Turning-Triumph/dp/1781251487/ref=zg_bs_g_1318164031_sccl_10/000-0000000-0000000?psc=1,Hardcover,Missing,4.5 out of 5 stars,"21,019"
"The Armour of Light (The Kingsbridge Novels, 5)",Ken Follett,https://amazon.in/Armour-Light-Kingsbridge-Novels/dp/1035027992/ref=zg_bs_g_1318164031_sccl_11/000-0000000-0000000?psc=1,Paperback,Missing,4.1 out of 5 stars,60
BABEL: Or the Necessity of Violence: An Arcane History of the Oxford Translators’ Revolution: SUNDAY TIMES and #1 NYT bestseller and most anticipated fantasy book of 2022,R.F. Kuang,https://amazon.in/Babel-Necessity-Violence-Translators-Revolution/dp/0008501823/ref=zg_bs_g_1318164031_sccl_12/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"8,575"
Shriman Yogi (Marathi),Ranjeet Desai,https://amazon.in/Shriman-Yogi-Marathi-Ranjeet-Desai/dp/8177666401/ref=zg_bs_g_1318164031_sccl_13/000-0000000-0000000?psc=1,Paperback,Missing,4.8 out of 5 stars,"3,034"
Thus Spoke Zarathustra,Friedrich Nietzsche,https://amazon.in/Thus-Spoke-Zarathustra-Penguin-Classics/dp/0140441182/ref=zg_bs_g_1318164031_sccl_14/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"2,812"
"Ponniyin Selvan Set of All five Parts (1,2,3,4 & 5) Tamil",Kalki,https://amazon.in/Ponniyin-Selvan-five-Parts-Tamil/dp/B0B8T7F36J/ref=zg_bs_g_1318164031_sccl_15/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,487
